Start	End	chromID	Chromosome	winID
17798923	22248641	chr17p	chr17	chr17p4
25269196	36453421	chr17q	chr17	chr17q0
36453421	47637646	chr17q	chr17	chr17q1
47637646	58821871	chr17q	chr17	chr17q2
58821871	70006096	chr17q	chr17	chr17q3
70006096	81190321	chr17q	chr17	chr17q4
10718	3087808	chr18p	chr18	chr18p0
3087808	6164898	chr18p	chr18	chr18p1
6164898	9241988	chr18p	chr18	chr18p2
9241988	12319078	chr18p	chr18	chr18p3
12319078	15396168	chr18p	chr18	chr18p4
18528460	30426183	chr18q	chr18	chr18q0
30426183	42323906	chr18q	chr18	chr18q1
42323906	54221629	chr18q	chr18	chr18q2
54221629	66119352	chr18q	chr18	chr18q3
66119352	78017075	chr18q	chr18	chr18q4
64704	4973496	chr19p	chr19	chr19p0
4973496	9882288	chr19p	chr19	chr19p1
9882288	14791080	chr19p	chr19	chr19p2
14791080	19699872	chr19p	chr19	chr19p3
19699872	24608664	chr19p	chr19	chr19p4
27748235	34022345	chr19q	chr19	chr19q0
34022345	40296455	chr19q	chr19	chr19q1
40296455	46570565	chr19q	chr19	chr19q2
46570565	52844675	chr19q	chr19	chr19q3
52844675	59118785	chr19q	chr19	chr19q4
11007	24303110	chr1p	chr1	chr1p0
24303110	48595213	chr1p	chr1	chr1p1
48595213	72887316	chr1p	chr1	chr1p2
72887316	97179419	chr1p	chr1	chr1p3
97179419	121471522	chr1p	chr1	chr1p4
142542466	163882081	chr1q	chr1	chr1q0
163882081	185221696	chr1q	chr1	chr1q1
185221696	206561311	chr1q	chr1	chr1q2
206561311	227900926	chr1q	chr1	chr1q3
227900926	249240541	chr1q	chr1	chr1q4
61097	5307054	chr20p	chr20	chr20p0
5307054	10553011	chr20p	chr20	chr20p1
10553011	15798968	chr20p	chr20	chr20p2
15798968	21044925	chr20p	chr20	chr20p3
21044925	26290882	chr20p	chr20	chr20p4
29432184	36138368	chr20q	chr20	chr20q0
36138368	42844552	chr20q	chr20	chr20q1
42844552	49550736	chr20q	chr20	chr20q2
49550736	56256920	chr20q	chr20	chr20q3
56256920	62963104	chr20q	chr20	chr20q4
9411244	9764661	chr21p	chr21	chr21p0
9764661	10118078	chr21p	chr21	chr21p1
10118078	10471495	chr21p	chr21	chr21p2
10471495	10824912	chr21p	chr21	chr21p3
10824912	11178329	chr21p	chr21	chr21p4
14350663	21104457	chr21q	chr21	chr21q0
21104457	27858251	chr21q	chr21	chr21q1
27858251	34612045	chr21q	chr21	chr21q2
34612045	41365839	chr21q	chr21	chr21q3
41365839	48119633	chr21q	chr21	chr21q4
16050606	23089332	chr22q	chr22	chr22q0
23089332	30128058	chr22q	chr22	chr22q1
30128058	37166784	chr22q	chr22	chr22q2
37166784	44205510	chr22q	chr22	chr22q3
44205510	51244236	chr22q	chr22	chr22q4
10180	18471244	chr2p	chr2	chr2p0
18471244	36932308	chr2p	chr2	chr2p1
36932308	55393372	chr2p	chr2	chr2p2
55393372	73854436	chr2p	chr2	chr2p3
73854436	92315500	chr2p	chr2	chr2p4
95328622	124900097	chr2q	chr2	chr2q0
124900097	154471572	chr2q	chr2	chr2q1
154471572	184043047	chr2q	chr2	chr2q2
184043047	213614522	chr2q	chr2	chr2q3
213614522	243185997	chr2q	chr2	chr2q4
60196	18144887	chr3p	chr3	chr3p0
18144887	36229578	chr3p	chr3	chr3p1
36229578	54314269	chr3p	chr3	chr3p2
54314269	72398960	chr3p	chr3	chr3p3
72398960	90483651	chr3p	chr3	chr3p4
93654937	114516426	chr3q	chr3	chr3q0
114516426	135377915	chr3q	chr3	chr3q1
135377915	156239404	chr3q	chr3	chr3q2
156239404	177100893	chr3q	chr3	chr3q3
177100893	197962382	chr3q	chr3	chr3q4
10455	9937244	chr4p	chr4	chr4p0
9937244	19864033	chr4p	chr4	chr4p1
19864033	29790822	chr4p	chr4	chr4p2
29790822	39717611	chr4p	chr4	chr4p3
39717611	49644400	chr4p	chr4	chr4p4
52677180	80350520	chr4q	chr4	chr4q0
80350520	108023860	chr4q	chr4	chr4q1
108023860	135697200	chr4q	chr4	chr4q2
135697200	163370540	chr4q	chr4	chr4q3
163370540	191043880	chr4q	chr4	chr4q4
10042	9286522	chr5p	chr5	chr5p0
9286522	18563002	chr5p	chr5	chr5p1
18563002	27839482	chr5p	chr5	chr5p2
27839482	37115962	chr5p	chr5	chr5p3
37115962	46392442	chr5p	chr5	chr5p4
49415504	75707484	chr5q	chr5	chr5q0
75707484	101999464	chr5q	chr5	chr5q1
101999464	128291444	chr5q	chr5	chr5q2
128291444	154583424	chr5q	chr5	chr5q3
154583424	180875404	chr5q	chr5	chr5q4
63978	11804357	chr6p	chr6	chr6p0
11804357	23544736	chr6p	chr6	chr6p1
23544736	35285115	chr6p	chr6	chr6p2
35285115	47025494	chr6p	chr6	chr6p3
47025494	58765873	chr6p	chr6	chr6p4
61883737	83717671	chr6q	chr6	chr6q0
83717671	105551605	chr6q	chr6	chr6q1
105551605	127385539	chr6q	chr6	chr6q2
127385539	149219473	chr6q	chr6	chr6q3
149219473	171053407	chr6q	chr6	chr6q4
16863	11622342	chr7p	chr7	chr7p0
11622342	23227821	chr7p	chr7	chr7p1
23227821	34833300	chr7p	chr7	chr7p2
34833300	46438779	chr7p	chr7	chr7p3
46438779	58044258	chr7p	chr7	chr7p4
61059303	80673156	chr7q	chr7	chr7q0
80673156	100287009	chr7q	chr7	chr7q1
100287009	119900862	chr7q	chr7	chr7q2
119900862	139514715	chr7q	chr7	chr7q3
139514715	159128568	chr7q	chr7	chr7q4
11739	8774420	chr8p	chr8	chr8p0
8774420	17537101	chr8p	chr8	chr8p1
17537101	26299782	chr8p	chr8	chr8p2
26299782	35062463	chr8p	chr8	chr8p3
35062463	43825144	chr8p	chr8	chr8p4
46853067	66743211	chr8q	chr8	chr8q0
66743211	86633355	chr8q	chr8	chr8q1
86633355	106523499	chr8q	chr8	chr8q2
106523499	126413643	chr8q	chr8	chr8q3
126413643	146303787	chr8q	chr8	chr8q4
10468	9451785	chr9p	chr9	chr9p0
9451785	18893102	chr9p	chr9	chr9p1
18893102	28334419	chr9p	chr9	chr9p2
28334419	37775736	chr9p	chr9	chr9p3
37775736	47217053	chr9p	chr9	chr9p4
65485592	80617810	chr9q	chr9	chr9q0
80617810	95750028	chr9q	chr9	chr9q1
95750028	110882246	chr9q	chr9	chr9q2
110882246	126014464	chr9q	chr9	chr9q3
126014464	141146682	chr9q	chr9	chr9q4
