Start	End	chromID	Chromosome	winID	Color	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
71973686	89631562	chr14q	chr14	chr14q3	arm	17657876	0.0	0.0	0.0	186.0	18.0	7.350925824046022e-09	9.63193612393e-07
89631562	107289438	chr14q	chr14	chr14q4	telomeric	17657876	1.0	0.0	1.0	462.0	170.0	1.398822555448086e-08	1.65261405816e-06
20000446	36504521	chr15q	chr15	chr15q0	arm	16504075	0.0	0.0	0.0	3506.0	2010.0	1.8796708197408138e-08	1.34801871035e-06
36504521	53008596	chr15q	chr15	chr15q1	arm	16504075	0.0	0.0	0.0	234.0	48.0	6.491881484848576e-09	1.53594000404e-06
53008596	69512671	chr15q	chr15	chr15q2	arm	16504075	0.0	0.0	0.0	328.0	24.0	9.344715258896962e-09	1.5057177186e-06
69512671	86016746	chr15q	chr15	chr15q3	arm	16504075	0.0	0.0	0.0	2468.0	1878.0	7.3894407294751285e-09	1.16130070719e-06
86016746	102520821	chr15q	chr15	chr15q4	telomeric	16504075	0.0	0.0	0.0	532.0	304.0	1.8242126895371337e-08	3.48511833934e-06
60179	7104554	chr16p	chr16	chr16p0	telomeric	7044375	0.0	0.0	0.0	350.0	74.0	1.878904502033575e-08	1.33357517688e-06
7104554	14148929	chr16p	chr16	chr16p1	arm	7044375	0.0	0.0	0.0	128.0	76.0	1.7089321646794436e-08	1.84145553703e-06
14148929	21193304	chr16p	chr16	chr16p2	arm	7044375	1.0	0.0	1.0	914.0	860.0	1.0768763188178417e-08	1.31730845517e-06
21193304	28237679	chr16p	chr16	chr16p3	arm	7044375	0.0	0.0	0.0	534.0	394.0	1.3219176756036847e-08	1.5251413636e-06
28237679	35282054	chr16p	chr16	chr16p4	arm	7044375	2.0	1.0	1.0	3216.0	1266.0	4.572123531660785e-09	5.18025081061e-07
46397335	55176426	chr16q	chr16	chr16q0	arm	8779091	1.0	1.0	0.0	426.0	44.0	9.268000628402564e-09	2.23355588705e-06
55176426	63955517	chr16q	chr16	chr16q1	arm	8779091	0.0	0.0	0.0	76.0	28.0	9.843269459914532e-09	1.30091604992e-06
63955517	72734608	chr16q	chr16	chr16q2	arm	8779091	0.0	0.0	0.0	220.0	190.0	4.36222931229663e-09	9.43963908925e-07
72734608	81513699	chr16q	chr16	chr16q3	arm	8779091	1.0	0.0	1.0	156.0	82.0	1.649621983292199e-08	1.47562506993e-06
81513699	90292790	chr16q	chr16	chr16q4	telomeric	8779091	1.0	1.0	0.0	374.0	40.0	2.4841292676156502e-08	1.65956775853e-06
51	4450668	chr17p	chr17	chr17p0	telomeric	4450617	0.0	0.0	0.0	156.0	44.0	2.2361473378102808e-08	1.34856884346e-06
4450668	8901285	chr17p	chr17	chr17p1	arm	4450617	1.0	1.0	0.0	94.0	80.0	1.4660158855345078e-08	9.27899847522e-07
8901285	13351902	chr17p	chr17	chr17p2	arm	4450617	1.0	1.0	0.0	12.0	0.0	1.9988539805701098e-08	2.57020349016e-06
13351902	17802519	chr17p	chr17	chr17p3	arm	4450617	0.0	0.0	0.0	162.0	132.0	1.3864919737627152e-08	1.72703946314e-06
17802519	22253136	chr17p	chr17	chr17p4	arm	4450617	1.0	0.0	1.0	730.0	394.0	7.523406208734757e-09	2.90936832003e-06
25269196	36453421	chr17q	chr17	chr17q0	arm	11184225	1.0	0.0	1.0	1110.0	702.0	8.973201983304757e-09	1.22884234402e-06
36453421	47637646	chr17q	chr17	chr17q1	arm	11184225	1.0	0.0	1.0	716.0	432.0	5.359304557598547e-09	9.58175007089e-07
47637646	58821871	chr17q	chr17	chr17q2	arm	11184225	1.0	0.0	1.0	276.0	128.0	8.811708099323726e-09	1.35572964072e-06
58821871	70006096	chr17q	chr17	chr17q3	arm	11184225	0.0	0.0	0.0	424.0	360.0	8.618090209721722e-09	2.17201349849e-06
70006096	81190321	chr17q	chr17	chr17q4	telomeric	11184225	0.0	0.0	0.0	134.0	22.0	1.9003113531891296e-08	1.39397268135e-06
10718	3089584	chr18p	chr18	chr18p0	telomeric	3078866	0.0	0.0	0.0	158.0	2.0	2.056405514885334e-08	1.54211841603e-06
3089584	6168450	chr18p	chr18	chr18p1	arm	3078866	0.0	0.0	0.0	2.0	0.0	2.6101153291665458e-08	1.42812506546e-06
6168450	9247316	chr18p	chr18	chr18p2	arm	3078866	0.0	0.0	0.0	14.0	2.0	1.994776749427802e-08	1.96169960508e-06
9247316	12326182	chr18p	chr18	chr18p3	arm	3078866	1.0	1.0	0.0	142.0	28.0	2.0776211805297236e-08	1.21149647978e-06
12326182	15405048	chr18p	chr18	chr18p4	arm	3078866	0.0	0.0	0.0	678.0	48.0	9.52065496985097e-09	7.97921591567e-07
18522589	30421486	chr18q	chr18	chr18q0	arm	11898897	0.0	0.0	0.0	194.0	8.0	7.043477378519507e-09	1.3651059453e-06
30421486	42320383	chr18q	chr18	chr18q1	arm	11898897	0.0	0.0	0.0	16.0	0.0	5.3673257444144735e-09	1.58433310555e-06
42320383	54219280	chr18q	chr18	chr18q2	arm	11898897	0.0	0.0	0.0	52.0	10.0	7.81554960353732e-09	1.07935433322e-06
54219280	66118177	chr18q	chr18	chr18q3	arm	11898897	0.0	0.0	0.0	118.0	8.0	1.070851437585151e-08	1.32484172689e-06
66118177	78017074	chr18q	chr18	chr18q4	telomeric	11898897	0.0	0.0	0.0	78.0	50.0	1.4850707024167767e-08	2.34161124192e-06
64704	4974545	chr19p	chr19	chr19p0	telomeric	4909841	0.0	0.0	0.0	336.0	32.0	2.8429163575258193e-08	9.95772139738e-07
4974545	9884386	chr19p	chr19	chr19p1	arm	4909841	0.0	0.0	0.0	92.0	70.0	2.08008598324003e-08	3.48221243769e-06
9884386	14794227	chr19p	chr19	chr19p2	arm	4909841	0.0	0.0	0.0	228.0	48.0	1.0660980578971996e-08	7.03904092367e-07
14794227	19704068	chr19p	chr19	chr19p3	arm	4909841	0.0	0.0	0.0	40.0	20.0	1.3384187366459485e-08	1.06420056883e-06
19704068	24613909	chr19p	chr19	chr19p4	arm	4909841	1.0	1.0	0.0	370.0	196.0	5.40092588399491e-09	1.04167129071e-06
27743297	34018394	chr19q	chr19	chr19q0	arm	6275097	0.0	0.0	0.0	60.0	6.0	8.60828883368495e-09	8.9523965743e-07
34018394	40293491	chr19q	chr19	chr19q1	arm	6275097	0.0	0.0	0.0	552.0	96.0	9.473221471936043e-09	7.78301081201e-07
40293491	46568588	chr19q	chr19	chr19q2	arm	6275097	0.0	0.0	0.0	456.0	270.0	9.116224860282909e-09	1.75728531331e-06
46568588	52843685	chr19q	chr19	chr19q3	arm	6275097	0.0	0.0	0.0	136.0	102.0	1.628351749203722e-08	1.29520616981e-06
52843685	59118782	chr19q	chr19	chr19q4	telomeric	6275097	0.0	0.0	0.0	416.0	276.0	2.6632662137393174e-08	2.11207575918e-06
11007	24303960	chr1p	chr1	chr1p0	telomeric	24292953	1.0	1.0	0.0	2146.0	1232.0	1.5617106476610276e-08	2.49397047287e-06
24303960	48596913	chr1p	chr1	chr1p1	arm	24292953	1.0	1.0	0.0	362.0	92.0	7.1020521358535015e-09	1.27534972611e-06
48596913	72889866	chr1p	chr1	chr1p2	arm	24292953	1.0	1.0	0.0	238.0	32.0	7.223809827878768e-09	2.00252120692e-06
72889866	97182819	chr1p	chr1	chr1p3	arm	24292953	1.0	1.0	0.0	294.0	48.0	6.431971936645955e-09	1.77313483353e-06
97182819	121475772	chr1p	chr1	chr1p4	arm	24292953	0.0	0.0	0.0	564.0	198.0	7.490653660099877e-09	1.32948765599e-06
142542466	163882081	chr1q	chr1	chr1q0	arm	21339615	2.0	0.0	2.0	3700.0	2328.0	9.001379762530246e-09	4.53144021763e-06
163882081	185221696	chr1q	chr1	chr1q1	arm	21339615	1.0	1.0	0.0	254.0	26.0	7.149539599584076e-09	1.42984991618e-06
185221696	206561311	chr1q	chr1	chr1q2	arm	21339615	3.0	3.0	0.0	302.0	72.0	6.501954364455749e-09	1.80063548403e-06
206561311	227900926	chr1q	chr1	chr1q3	arm	21339615	0.0	0.0	0.0	528.0	142.0	7.196235998712671e-09	1.32988937324e-06
227900926	249240541	chr1q	chr1	chr1q4	telomeric	21339615	0.0	0.0	0.0	746.0	160.0	1.3639047432773368e-08	1.71695646661e-06
61097	5308012	chr20p	chr20	chr20p0	telomeric	5246915	0.0	0.0	0.0	38.0	10.0	2.0646144486565237e-08	1.18975637623e-06
5308012	10554927	chr20p	chr20	chr20p1	arm	5246915	0.0	0.0	0.0	18.0	4.0	1.5821552551839716e-08	1.55576497235e-06
10554927	15801842	chr20p	chr20	chr20p2	arm	5246915	1.0	0.0	1.0	22.0	0.0	1.1219903320913035e-08	1.36858063815e-06
15801842	21048757	chr20p	chr20	chr20p3	arm	5246915	0.0	0.0	0.0	18.0	0.0	1.2420522208539284e-08	1.68770806854e-06
21048757	26295672	chr20p	chr20	chr20p4	arm	5246915	1.0	0.0	1.0	420.0	70.0	5.3078480773073345e-09	1.32362004629e-06
29432184	36138368	chr20q	chr20	chr20q0	arm	6706184	0.0	0.0	0.0	176.0	20.0	3.5156045776230277e-09	4.03685928272e-07
36138368	42844552	chr20q	chr20	chr20q1	arm	6706184	0.0	0.0	0.0	40.0	0.0	9.447371599725567e-09	9.80313204791e-07
42844552	49550736	chr20q	chr20	chr20q2	arm	6706184	0.0	0.0	0.0	120.0	62.0	1.0270470886154054e-08	1.13066475389e-06
49550736	56256920	chr20q	chr20	chr20q3	arm	6706184	0.0	0.0	0.0	66.0	4.0	1.6025381164294714e-08	1.94375798567e-06
56256920	62963104	chr20q	chr20	chr20q4	telomeric	6706184	0.0	0.0	0.0	146.0	20.0	1.8954385433681695e-08	1.14769645344e-06
14350663	21104457	chr21q	chr21	chr21q0	arm	6753794	1.0	0.0	1.0	458.0	44.0	1.4428268288355715e-08	1.8015841034e-06
21104457	27858251	chr21q	chr21	chr21q1	arm	6753794	0.0	0.0	0.0	38.0	4.0	9.984873082734913e-09	1.15018979706e-06
27858251	34612045	chr21q	chr21	chr21q2	arm	6753794	1.0	1.0	0.0	260.0	10.0	1.018591362244033e-08	1.40587945666e-06
34612045	41365839	chr21q	chr21	chr21q3	arm	6753794	0.0	0.0	0.0	32.0	0.0	1.3360077943896677e-08	1.1301898994e-06
41365839	48119633	chr21q	chr21	chr21q4	telomeric	6753794	0.0	0.0	0.0	144.0	54.0	1.7840035794236488e-08	1.00418394634e-06
16050606	23089332	chr22q	chr22	chr22q0	arm	7038726	0.0	0.0	0.0	1740.0	596.0	2.4548756236955034e-08	4.01381106281e-06
23089332	30128058	chr22q	chr22	chr22q1	arm	7038726	0.0	0.0	0.0	588.0	328.0	1.5921790150045052e-08	1.18086446659e-06
30128058	37166784	chr22q	chr22	chr22q2	arm	7038726	0.0	0.0	0.0	88.0	38.0	1.0210638894189296e-08	1.14589864812e-06
37166784	44205510	chr22q	chr22	chr22q3	arm	7038726	0.0	0.0	0.0	202.0	50.0	9.269206038878283e-09	1.59247211782e-06
44205510	51244236	chr22q	chr22	chr22q4	telomeric	7038726	0.0	0.0	0.0	132.0	22.0	2.309703197844342e-08	3.30859936904e-06
10180	18472443	chr2p	chr2	chr2p0	telomeric	18462263	0.0	0.0	0.0	222.0	46.0	1.3675041316054214e-08	1.60686817175e-06
18472443	36934706	chr2p	chr2	chr2p1	arm	18462263	1.0	1.0	0.0	198.0	20.0	8.65152513826617e-09	1.77239009375e-06
36934706	55396969	chr2p	chr2	chr2p2	arm	18462263	0.0	0.0	0.0	142.0	14.0	9.484466783778813e-09	9.56651668017e-07
55396969	73859232	chr2p	chr2	chr2p3	arm	18462263	0.0	0.0	0.0	490.0	38.0	7.175422366530542e-09	8.45576993915e-07
73859232	92321495	chr2p	chr2	chr2p4	arm	18462263	0.0	0.0	0.0	1752.0	556.0	7.616156404788127e-09	1.37191400188e-06
95328622	124900097	chr2q	chr2	chr2q0	arm	29571475	2.0	2.0	0.0	1444.0	492.0	5.2089769988126515e-09	1.33756725864e-06
124900097	154471572	chr2q	chr2	chr2q1	arm	29571475	2.0	1.0	1.0	1282.0	276.0	6.020686984839023e-09	1.29648142138e-06
154471572	184043047	chr2q	chr2	chr2q2	arm	29571475	1.0	1.0	0.0	486.0	50.0	6.523926912221176e-09	2.19404751732e-06
184043047	213614522	chr2q	chr2	chr2q3	arm	29571475	2.0	2.0	0.0	530.0	38.0	5.656235288045643e-09	1.23043486046e-06
213614522	243185997	chr2q	chr2	chr2q4	telomeric	29571475	2.0	1.0	1.0	462.0	116.0	1.0305265648936035e-08	2.25111959574e-06
60196	18144887	chr3p	chr3	chr3p0	telomeric	18084691	1.0	1.0	0.0	542.0	136.0	1.5318278268755247e-08	3.28413428516e-06
18144887	36229578	chr3p	chr3	chr3p1	arm	18084691	1.0	1.0	0.0	158.0	12.0	8.901055144747906e-09	1.29222782132e-06
36229578	54314269	chr3p	chr3	chr3p2	arm	18084691	1.0	1.0	0.0	464.0	22.0	4.659239569354673e-09	8.20069869598e-07
54314269	72398960	chr3p	chr3	chr3p3	arm	18084691	1.0	1.0	0.0	36.0	4.0	1.0940066938476355e-08	2.09512559065e-06
72398960	90483651	chr3p	chr3	chr3p4	arm	18084691	2.0	2.0	0.0	784.0	92.0	4.776939134821916e-09	1.32686032808e-06
93654937	114516426	chr3q	chr3	chr3q0	arm	20861489	1.0	1.0	0.0	280.0	32.0	4.810768716511406e-09	1.44352549919e-06
114516426	135377915	chr3q	chr3	chr3q1	arm	20861489	0.0	0.0	0.0	784.0	148.0	6.973973026382408e-09	1.7816003807e-06
135377915	156239404	chr3q	chr3	chr3q2	arm	20861489	0.0	0.0	0.0	372.0	38.0	6.557533724450677e-09	1.92017465634e-06
156239404	177100893	chr3q	chr3	chr3q3	arm	20861489	1.0	1.0	0.0	102.0	18.0	6.747602644203878e-09	1.67809559094e-06
177100893	197962382	chr3q	chr3	chr3q4	telomeric	20861489	0.0	0.0	0.0	730.0	230.0	1.2190113718229969e-08	1.7508688461e-06
10455	9938301	chr4p	chr4	chr4p0	telomeric	9927846	0.0	0.0	0.0	1708.0	290.0	1.8828436230039304e-08	3.93853893045e-06
9938301	19866147	chr4p	chr4	chr4p1	arm	9927846	0.0	0.0	0.0	16.0	4.0	8.773256242952825e-09	2.88391652399e-06
19866147	29793993	chr4p	chr4	chr4p2	arm	9927846	0.0	0.0	0.0	58.0	4.0	9.46206589744828e-09	1.54872150181e-06
29793993	39721839	chr4p	chr4	chr4p3	arm	9927846	0.0	0.0	0.0	44.0	8.0	7.1965499046786695e-09	3.11652872834e-06
39721839	49649685	chr4p	chr4	chr4p4	arm	9927846	1.0	1.0	0.0	562.0	52.0	7.783328563862024e-09	6.73021225569e-07
52662670	80338912	chr4q	chr4	chr4q0	arm	27676242	0.0	0.0	0.0	524.0	202.0	6.047584359276446e-09	1.24069290048e-06
80338912	108015154	chr4q	chr4	chr4q1	arm	27676242	2.0	2.0	0.0	276.0	28.0	5.243868908244667e-09	1.69008320923e-06
108015154	135691396	chr4q	chr4	chr4q2	arm	27676242	0.0	0.0	0.0	718.0	68.0	5.333379064880939e-09	2.1274538472e-06
135691396	163367638	chr4q	chr4	chr4q3	arm	27676242	0.0	0.0	0.0	198.0	34.0	6.573844606304616e-09	1.45883199195e-06
163367638	191043880	chr4q	chr4	chr4q4	telomeric	27676242	2.0	1.0	1.0	350.0	60.0	1.1450374538829436e-08	1.36766544008e-06
10042	9289044	chr5p	chr5	chr5p0	telomeric	9279002	1.0	1.0	0.0	242.0	96.0	1.6614836107698496e-08	2.81218352126e-06
9289044	18568046	chr5p	chr5	chr5p1	arm	9279002	0.0	0.0	0.0	256.0	202.0	1.0886976391821777e-08	1.36597049959e-06
18568046	27847048	chr5p	chr5	chr5p2	arm	9279002	0.0	0.0	0.0	232.0	102.0	5.596475852424612e-09	8.80716744902e-07
27847048	37126050	chr5p	chr5	chr5p3	arm	9279002	1.0	1.0	0.0	158.0	72.0	9.240227954156011e-09	1.39217159591e-06
37126050	46405052	chr5p	chr5	chr5p4	arm	9279002	0.0	0.0	0.0	154.0	68.0	4.298606977414425e-09	8.87747920862e-07
49415504	75707484	chr5q	chr5	chr5q0	arm	26291980	1.0	0.0	1.0	1372.0	614.0	6.073863793437524e-09	2.20107284985e-06
75707484	101999464	chr5q	chr5	chr5q1	arm	26291980	0.0	0.0	0.0	556.0	186.0	5.506158293795492e-09	1.14166184184e-06
101999464	128291444	chr5q	chr5	chr5q2	arm	26291980	1.0	1.0	0.0	234.0	18.0	7.640421099393785e-09	1.95838488362e-06
128291444	154583424	chr5q	chr5	chr5q3	arm	26291980	2.0	2.0	0.0	564.0	382.0	6.566050238495473e-09	9.2541706581e-07
154583424	180875404	chr5q	chr5	chr5q4	telomeric	26291980	1.0	0.0	1.0	594.0	202.0	1.1771731427655832e-08	1.46092488811e-06
63978	11805264	chr6p	chr6	chr6p0	telomeric	11741286	0.0	0.0	0.0	394.0	46.0	1.6406264635405173e-08	1.25361443492e-06
11805264	23546550	chr6p	chr6	chr6p1	arm	11741286	1.0	1.0	0.0	44.0	4.0	1.0545938792905243e-08	1.13942162187e-06
23546550	35287836	chr6p	chr6	chr6p2	arm	11741286	1.0	1.0	0.0	598.0	156.0	1.0039186103590605e-08	1.61455411417e-06
35287836	47029122	chr6p	chr6	chr6p3	arm	11741286	0.0	0.0	0.0	96.0	10.0	9.621149473195616e-09	1.27220543428e-06
47029122	58770408	chr6p	chr6	chr6p4	arm	11741286	0.0	0.0	0.0	198.0	42.0	4.864312419313356e-09	1.1517156105e-06
61883737	83717671	chr6q	chr6	chr6q0	arm	21833934	0.0	0.0	0.0	272.0	22.0	4.241403006300824e-09	8.38378732616e-07
83717671	105551605	chr6q	chr6	chr6q1	arm	21833934	2.0	2.0	0.0	126.0	6.0	5.146046114698874e-09	1.38528654677e-06
105551605	127385539	chr6q	chr6	chr6q2	arm	21833934	1.0	0.0	1.0	240.0	4.0	5.957112445210265e-09	3.93385897989e-06
127385539	149219473	chr6q	chr6	chr6q3	arm	21833934	2.0	2.0	0.0	152.0	10.0	7.04815239557045e-09	8.41604948137e-07
149219473	171053407	chr6q	chr6	chr6q4	telomeric	21833934	1.0	0.0	1.0	362.0	92.0	1.3411021338990876e-08	3.91341988426e-06
16863	11622342	chr7p	chr7	chr7p0	telomeric	11605479	1.0	0.0	1.0	706.0	252.0	1.5125826241988214e-08	1.36759547982e-06
11622342	23227821	chr7p	chr7	chr7p1	arm	11605479	0.0	0.0	0.0	88.0	16.0	1.2392682636851558e-08	2.17977629591e-06
23227821	34833300	chr7p	chr7	chr7p2	arm	11605479	0.0	0.0	0.0	284.0	88.0	9.479065032336984e-09	1.75395516111e-06
34833300	46438779	chr7p	chr7	chr7p3	arm	11605479	1.0	1.0	0.0	638.0	306.0	8.477979226043356e-09	1.85158344985e-06
46438779	58044258	chr7p	chr7	chr7p4	arm	11605479	3.0	1.0	2.0	1392.0	468.0	6.97818776104089e-09	1.03807897741e-06
61059303	80673156	chr7q	chr7	chr7q0	arm	19613853	1.0	1.0	0.0	2956.0	1782.0	6.7768706861759965e-09	3.22253352371e-06
80673156	100287009	chr7q	chr7	chr7q1	arm	19613853	0.0	0.0	0.0	690.0	224.0	5.2280506226860596e-09	1.31898170131e-06
100287009	119900862	chr7q	chr7	chr7q2	arm	19613853	1.0	1.0	0.0	406.0	322.0	6.339410654370461e-09	6.22663484284e-06
119900862	139514715	chr7q	chr7	chr7q3	arm	19613853	0.0	0.0	0.0	354.0	70.0	7.610027966638882e-09	1.88981902323e-06
139514715	159128568	chr7q	chr7	chr7q4	telomeric	19613853	2.0	1.0	1.0	394.0	206.0	1.3749649737664609e-08	3.18250223141e-06
11739	8775092	chr8p	chr8	chr8p0	telomeric	8763353	1.0	0.0	1.0	1458.0	376.0	2.8546344808857593e-08	1.98214823255e-06
8775092	17538445	chr8p	chr8	chr8p1	arm	8763353	1.0	0.0	1.0	744.0	174.0	1.492350191651169e-08	1.89439825771e-06
17538445	26301798	chr8p	chr8	chr8p2	arm	8763353	0.0	0.0	0.0	52.0	10.0	1.2885238908004141e-08	1.25999339332e-06
26301798	35065151	chr8p	chr8	chr8p3	arm	8763353	0.0	0.0	0.0	90.0	10.0	7.1035324907785626e-09	1.31809133221e-06
35065151	43828504	chr8p	chr8	chr8p4	arm	8763353	0.0	0.0	0.0	58.0	2.0	5.8080825354519135e-09	8.50870465782e-07
46848150	66739278	chr8q	chr8	chr8q0	arm	19891128	0.0	0.0	0.0	312.0	32.0	4.522382447456498e-09	9.08121312672e-07
66739278	86630406	chr8q	chr8	chr8q1	arm	19891128	0.0	0.0	0.0	448.0	76.0	6.0761593441978976e-09	1.58874848558e-06
86630406	106521534	chr8q	chr8	chr8q2	arm	19891128	1.0	1.0	0.0	238.0	152.0	6.426373075823022e-09	1.76453714476e-06
106521534	126412662	chr8q	chr8	chr8q3	arm	19891128	0.0	0.0	0.0	74.0	12.0	5.93775923701641e-09	1.92533005989e-06
126412662	146303790	chr8q	chr8	chr8q4	telomeric	19891128	0.0	0.0	0.0	270.0	60.0	1.1805075426341469e-08	1.78472282327e-06
10468	9451785	chr9p	chr9	chr9p0	telomeric	9441317	0.0	0.0	0.0	258.0	36.0	1.7386067275190972e-08	1.75802677862e-06
9451785	18893102	chr9p	chr9	chr9p1	arm	9441317	0.0	0.0	0.0	28.0	8.0	1.2918934245098863e-08	1.62454284e-06
18893102	28334419	chr9p	chr9	chr9p2	arm	9441317	0.0	0.0	0.0	112.0	50.0	1.1141189046746434e-08	2.11088105296e-06
28334419	37775736	chr9p	chr9	chr9p3	arm	9441317	1.0	0.0	1.0	224.0	74.0	6.558108706612778e-09	1.13752261242e-06
37775736	47217053	chr9p	chr9	chr9p4	arm	9441317	0.0	0.0	0.0	2398.0	1210.0	1.179294307355238e-08	9.92698136589e-07
65485592	80617810	chr9q	chr9	chr9q0	arm	15132218	1.0	1.0	0.0	2000.0	468.0	1.0004299899989625e-08	1.81929320297e-06
80617810	95750028	chr9q	chr9	chr9q1	arm	15132218	1.0	1.0	0.0	860.0	262.0	9.101626074530407e-09	1.87948604144e-06
