Start	End	chromID	Chromosome	winID
36449354	47634596	chr17q	chr17	chr17q1
47634596	58819838	chr17q	chr17	chr17q2
58819838	70005080	chr17q	chr17	chr17q3
70005080	81190322	chr17q	chr17	chr17q4
10718	3090580	chr18p	chr18	chr18p0
3090580	6170442	chr18p	chr18	chr18p1
6170442	9250304	chr18p	chr18	chr18p2
9250304	12330166	chr18p	chr18	chr18p3
12330166	15410028	chr18p	chr18	chr18p4
18513835	30414483	chr18q	chr18	chr18q0
30414483	42315131	chr18q	chr18	chr18q1
42315131	54215779	chr18q	chr18	chr18q2
54215779	66116427	chr18q	chr18	chr18q3
66116427	78017075	chr18q	chr18	chr18q4
64704	4975896	chr19p	chr19	chr19p0
4975896	9887088	chr19p	chr19	chr19p1
9887088	14798280	chr19p	chr19	chr19p2
14798280	19709472	chr19p	chr19	chr19p3
19709472	24620664	chr19p	chr19	chr19p4
27733341	34010430	chr19q	chr19	chr19q0
34010430	40287519	chr19q	chr19	chr19q1
40287519	46564608	chr19q	chr19	chr19q2
46564608	52841697	chr19q	chr19	chr19q3
52841697	59118786	chr19q	chr19	chr19q4
11007	24305834	chr1p	chr1	chr1p0
24305834	48600661	chr1p	chr1	chr1p1
48600661	72895488	chr1p	chr1	chr1p2
72895488	97190315	chr1p	chr1	chr1p3
97190315	121485142	chr1p	chr1	chr1p4
142535438	163876458	chr1q	chr1	chr1q0
163876458	185217478	chr1q	chr1	chr1q1
185217478	206558498	chr1q	chr1	chr1q2
206558498	227899518	chr1q	chr1	chr1q3
227899518	249240538	chr1q	chr1	chr1q4
61097	5310011	chr20p	chr20	chr20p0
5310011	10558925	chr20p	chr20	chr20p1
10558925	15807839	chr20p	chr20	chr20p2
15807839	21056753	chr20p	chr20	chr20p3
21056753	26305667	chr20p	chr20	chr20p4
29426955	36134185	chr20q	chr20	chr20q0
36134185	42841415	chr20q	chr20	chr20q1
42841415	49548645	chr20q	chr20	chr20q2
49548645	56255875	chr20q	chr20	chr20q3
56255875	62963105	chr20q	chr20	chr20q4
9411244	9765868	chr21p	chr21	chr21p0
9765868	10120492	chr21p	chr21	chr21p1
10120492	10475116	chr21p	chr21	chr21p2
10475116	10829740	chr21p	chr21	chr21p3
10829740	11184364	chr21p	chr21	chr21p4
14349718	21103701	chr21q	chr21	chr21q0
21103701	27857684	chr21q	chr21	chr21q1
27857684	34611667	chr21q	chr21	chr21q2
34611667	41365650	chr21q	chr21	chr21q3
41365650	48119633	chr21q	chr21	chr21q4
16050606	23089332	chr22q	chr22	chr22q0
23089332	30128058	chr22q	chr22	chr22q1
30128058	37166784	chr22q	chr22	chr22q2
37166784	44205510	chr22q	chr22	chr22q3
44205510	51244236	chr22q	chr22	chr22q4
10180	18473353	chr2p	chr2	chr2p0
18473353	36936526	chr2p	chr2	chr2p1
36936526	55399699	chr2p	chr2	chr2p2
55399699	73862872	chr2p	chr2	chr2p3
73862872	92326045	chr2p	chr2	chr2p4
95326998	124898797	chr2q	chr2	chr2q0
124898797	154470596	chr2q	chr2	chr2q1
154470596	184042395	chr2q	chr2	chr2q2
184042395	213614194	chr2q	chr2	chr2q3
213614194	243185993	chr2q	chr2	chr2q4
60196	18145284	chr3p	chr3	chr3p0
18145284	36230372	chr3p	chr3	chr3p1
36230372	54315460	chr3p	chr3	chr3p2
54315460	72400548	chr3p	chr3	chr3p3
72400548	90485636	chr3p	chr3	chr3p4
93652493	114514471	chr3q	chr3	chr3q0
114514471	135376449	chr3q	chr3	chr3q1
135376449	156238427	chr3q	chr3	chr3q2
156238427	177100405	chr3q	chr3	chr3q3
177100405	197962383	chr3q	chr3	chr3q4
10455	9940241	chr4p	chr4	chr4p0
9940241	19870027	chr4p	chr4	chr4p1
19870027	29799813	chr4p	chr4	chr4p2
29799813	39729599	chr4p	chr4	chr4p3
39729599	49659385	chr4p	chr4	chr4p4
52662544	80338812	chr4q	chr4	chr4q0
80338812	108015080	chr4q	chr4	chr4q1
108015080	135691348	chr4q	chr4	chr4q2
135691348	163367616	chr4q	chr4	chr4q3
163367616	191043884	chr4q	chr4	chr4q4
10042	9289047	chr5p	chr5	chr5p0
9289047	18568052	chr5p	chr5	chr5p1
18568052	27847057	chr5p	chr5	chr5p2
27847057	37126062	chr5p	chr5	chr5p3
37126062	46405067	chr5p	chr5	chr5p4
49405662	75699610	chr5q	chr5	chr5q0
75699610	101993558	chr5q	chr5	chr5q1
101993558	128287506	chr5q	chr5	chr5q2
128287506	154581454	chr5q	chr5	chr5q3
154581454	180875402	chr5q	chr5	chr5q4
63978	11807190	chr6p	chr6	chr6p0
11807190	23550402	chr6p	chr6	chr6p1
23550402	35293614	chr6p	chr6	chr6p2
35293614	47036826	chr6p	chr6	chr6p3
47036826	58780038	chr6p	chr6	chr6p4
61880511	83715090	chr6q	chr6	chr6q0
83715090	105549669	chr6q	chr6	chr6q1
105549669	127384248	chr6q	chr6	chr6q2
127384248	149218827	chr6q	chr6	chr6q3
149218827	171053406	chr6q	chr6	chr6q4
16863	11624304	chr7p	chr7	chr7p0
11624304	23231745	chr7p	chr7	chr7p1
23231745	34839186	chr7p	chr7	chr7p2
34839186	46446627	chr7p	chr7	chr7p3
46446627	58054068	chr7p	chr7	chr7p4
61054484	80669301	chr7q	chr7	chr7q0
80669301	100284118	chr7q	chr7	chr7q1
100284118	119898935	chr7q	chr7	chr7q2
119898935	139513752	chr7q	chr7	chr7q3
139513752	159128569	chr7q	chr7	chr7q4
11739	8777088	chr8p	chr8	chr8p0
8777088	17542437	chr8p	chr8	chr8p1
17542437	26307786	chr8p	chr8	chr8p2
26307786	35073135	chr8p	chr8	chr8p3
35073135	43838484	chr8p	chr8	chr8p4
46839507	66732363	chr8q	chr8	chr8q0
66732363	86625219	chr8q	chr8	chr8q1
86625219	106518075	chr8q	chr8	chr8q2
106518075	126410931	chr8q	chr8	chr8q3
126410931	146303787	chr8q	chr8	chr8q4
10468	9453602	chr9p	chr9	chr9p0
9453602	18896736	chr9p	chr9	chr9p1
18896736	28339870	chr9p	chr9	chr9p2
28339870	37783004	chr9p	chr9	chr9p3
37783004	47226138	chr9p	chr9	chr9p4
65485581	80617802	chr9q	chr9	chr9q0
80617802	95750023	chr9q	chr9	chr9q1
95750023	110882244	chr9q	chr9	chr9q2
110882244	126014465	chr9q	chr9	chr9q3
126014465	141146686	chr9q	chr9	chr9q4
