Start	End	chromID	Chromosome	winID	Color
11805264	23546550	chr6p	chr6	chr6p1	arm
23546550	35287836	chr6p	chr6	chr6p2	arm
35287836	47029122	chr6p	chr6	chr6p3	arm
47029122	58770408	chr6p	chr6	chr6p4	arm
61883737	83717671	chr6q	chr6	chr6q0	arm
83717671	105551605	chr6q	chr6	chr6q1	arm
105551605	127385539	chr6q	chr6	chr6q2	arm
127385539	149219473	chr6q	chr6	chr6q3	arm
149219473	171053407	chr6q	chr6	chr6q4	telomeric
16863	11622342	chr7p	chr7	chr7p0	telomeric
11622342	23227821	chr7p	chr7	chr7p1	arm
23227821	34833300	chr7p	chr7	chr7p2	arm
34833300	46438779	chr7p	chr7	chr7p3	arm
46438779	58044258	chr7p	chr7	chr7p4	arm
61059303	80673156	chr7q	chr7	chr7q0	arm
80673156	100287009	chr7q	chr7	chr7q1	arm
100287009	119900862	chr7q	chr7	chr7q2	arm
119900862	139514715	chr7q	chr7	chr7q3	arm
139514715	159128568	chr7q	chr7	chr7q4	telomeric
11739	8775092	chr8p	chr8	chr8p0	telomeric
8775092	17538445	chr8p	chr8	chr8p1	arm
17538445	26301798	chr8p	chr8	chr8p2	arm
26301798	35065151	chr8p	chr8	chr8p3	arm
35065151	43828504	chr8p	chr8	chr8p4	arm
46848150	66739278	chr8q	chr8	chr8q0	arm
66739278	86630406	chr8q	chr8	chr8q1	arm
86630406	106521534	chr8q	chr8	chr8q2	arm
106521534	126412662	chr8q	chr8	chr8q3	arm
126412662	146303790	chr8q	chr8	chr8q4	telomeric
10468	9451785	chr9p	chr9	chr9p0	telomeric
9451785	18893102	chr9p	chr9	chr9p1	arm
18893102	28334419	chr9p	chr9	chr9p2	arm
28334419	37775736	chr9p	chr9	chr9p3	arm
37775736	47217053	chr9p	chr9	chr9p4	arm
65485592	80617810	chr9q	chr9	chr9q0	arm
80617810	95750028	chr9q	chr9	chr9q1	arm
95750028	110882246	chr9q	chr9	chr9q2	arm
110882246	126014464	chr9q	chr9	chr9q3	arm
126014464	141146682	chr9q	chr9	chr9q4	telomeric
