Start	End	chromID	winID	Chromosome	Length(bp)	('invCenters', 'NHCenters', 'NAHRCenters', 'allRepCounts', 'intraRepCounts', 'BhererRegsNum', 'SpenceRegsNum', 'BhererRegsMean', 'SpenceRegsMean', 'BhererRegsWeightMean', 'SpenceRegsWeightMean')	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	BhererRegsNum	SpenceRegsNum	BhererRegsMean	SpenceRegsMean	BhererRegsWeightMean	SpenceRegsWeightMean
51656891	81050981	chr17q	chr17q1	chr17	29394091	0	1.0	0.0	1.0	762.0	506.0	9034.0	10631.0	3.1819989050001447	0.6510204111193679	1.752920877806849	0.23696744939212414
112535	7607478	chr18p	chr18p0	chr18	7494944	0	0.0	0.0	0.0	28.0	4.0	3120.0	4374.0	4.782090642291655	0.9804564918381344	3.3713365251920537	0.4453434111373185
7607479	15102422	chr18p	chr18p1	chr18	7494944	0	1.0	1.0	0.0	548.0	72.0	2962.0	3427.0	3.732466358878599	0.6929239283221477	1.4775614758818967	0.2967998460144379
15410026	46712304	chr18q	chr18q0	chr18	31302279	0	0.0	0.0	0.0	228.0	16.0	8044.0	8241.0	2.1492124565489616	0.4046573954932654	0.921351409254564	0.2657785303901975
46712305	78014583	chr18q	chr18q1	chr18	31302279	0	0.0	0.0	0.0	230.0	60.0	11023.0	13030.0	3.1222848216589845	0.5749462492785878	1.5685541168953128	0.21113334323077987
261033	12374191	chr19p	chr19p0	chr19	12113159	0	0.0	0.0	0.0	316.0	120.0	3347.0	6123.0	3.229743495861813	0.8251270436175078	2.517043758597302	0.4042132118127633
12374192	24487350	chr19p	chr19p1	chr19	12113159	0	1.0	1.0	0.0	488.0	238.0	2909.0	5270.0	2.3230510074754593	0.4761877467874763	1.2985289652658116	0.19341333852720607
24620660	41839371	chr19q	chr19q0	chr19	17218712	0	0.0	0.0	0.0	662.0	146.0	3884.0	5148.0	2.242964496487842	0.42272318011091686	1.2131815985990633	0.16664955799100983
41839372	59058083	chr19q	chr19q1	chr19	17218712	0	0.0	0.0	0.0	886.0	600.0	5379.0	8753.0	3.479640221556185	0.8018486212452873	2.351251454828396	0.34169226101392586
752721	61050237	chr1p	chr1p0	chr1	60297517	0	3.0	3.0	0.0	1910.0	1170.0	19233.0	21342.0	2.8754265097008043	0.5459554019731984	1.3855400712109887	0.19086909524785925
61050238	121347754	chr1p	chr1p1	chr1	60297517	0	1.0	1.0	0.0	912.0	250.0	18246.0	19804.0	2.3750938142808695	0.3825481838517471	0.9414479509241358	0.1316687082200474
121485142	185327926	chr1q	chr1q0	chr1	63842785	0	3.0	1.0	2.0	3954.0	2354.0	11723.0	15782.0	2.9979936387019297	0.36043722940818657	0.9965180932663388	0.18784275087733113
185327927	249170711	chr1q	chr1q1	chr1	63842785	0	3.0	3.0	0.0	1498.0	368.0	21632.0	24747.0	2.7975199878171573	0.4666928038322221	1.2674075511307372	0.172711717060029
69094	13173672	chr20p	chr20p0	chr20	13104579	0	1.0	0.0	1.0	72.0	14.0	5767.0	6072.0	3.7848609240679396	0.8054251874472991	2.5865817966140887	0.31958026263523587
13173673	26278251	chr20p	chr20p1	chr20	13104579	0	1.0	0.0	1.0	444.0	70.0	4670.0	5263.0	2.5554344566068714	0.48792298063043893	1.0087385151454684	0.17581845939265775
26305666	44606090	chr20q	chr20q0	chr20	18300425	0	0.0	0.0	0.0	222.0	22.0	3759.0	4318.0	1.9979447208315728	0.3231064190968041	0.9082358355882791	0.114337004123394
44606091	62906515	chr20q	chr20q1	chr20	18300425	0	0.0	0.0	0.0	214.0	86.0	7561.0	7853.0	3.4916659322606822	0.7191867340124793	2.3353595938096645	0.30026955411220363
14665973	31380388	chr21q	chr21q0	chr21	16714416	0	2.0	1.0	1.0	438.0	50.0	5636.0	9846.0	3.1050893473828216	0.4899696678588259	1.6353897703382088	0.22780349247526163
31380389	48094804	chr21q	chr21q1	chr21	16714416	0	0.0	0.0	0.0	304.0	54.0	6405.0	7040.0	3.3795485492660036	0.6743254687102272	2.0428645753697845	0.2733779074865682
17087705	34158755	chr22q	chr22q0	chr22	17071051	0	0.0	0.0	0.0	1940.0	932.0	6399.0	6887.0	3.7539533458428807	0.8203226150515464	1.9917697036957789	0.33814918963154883
34158756	51229806	chr22q	chr22q1	chr22	17071051	0	0.0	0.0	0.0	300.0	78.0	6768.0	8192.0	3.2374400151154714	0.7407557046142578	2.031677072435795	0.2920483397158607
118913	44869875	chr2p	chr2p0	chr2	44750963	0	1.0	1.0	0.0	474.0	72.0	16528.0	20008.0	2.887060661659851	0.4784747317722911	1.4230124711591754	0.20635370460342467
44869876	89620838	chr2p	chr2p1	chr2	44750963	0	0.0	0.0	0.0	1032.0	372.0	13981.0	14538.0	2.2672726443264053	0.3723834087205943	0.8177717372318285	0.14325131036356692
92326042	167685000	chr2q	chr2q0	chr2	75358959	0	4.0	3.0	1.0	2996.0	792.0	18726.0	24992.0	1.9398940256570176	0.25285647509483034	0.7927818953155835	0.10069459558250642
167685001	243043959	chr2q	chr2q1	chr2	75358959	0	5.0	4.0	1.0	1018.0	170.0	22793.0	28367.0	2.677020179057354	0.3914438667960306	1.1478660353133368	0.15149352601101845
108226	45262993	chr3p	chr3p0	chr3	45154768	0	3.0	3.0	0.0	1074.0	160.0	15776.0	17186.0	3.257915916564338	0.5979946349114977	1.4596153393834084	0.20683420026603216
45262994	90417761	chr3p	chr3p1	chr3	45154768	0	3.0	3.0	0.0	908.0	104.0	12274.0	14452.0	2.498133909693012	0.37330246303279824	0.8555227234194225	0.1308588440717815
90485636	144142940	chr3q	chr3q0	chr3	53657305	0	1.0	1.0	0.0	1224.0	204.0	13287.0	17517.0	2.1892657202234003	0.29414152477838673	0.8303108634746362	0.10751008590244514
144142941	197800245	chr3q	chr3q1	chr3	53657305	0	1.0	1.0	0.0	808.0	264.0	16374.0	21217.0	2.58694860653162	0.49167868490361505	1.26180307241259	0.1678313898890833
167596	24640828	chr4p	chr4p0	chr4	24473233	0	0.0	0.0	0.0	1684.0	292.0	8493.0	13360.0	3.3961236888688644	0.5623581499131737	1.563064116584141	0.24147144483061786
24640829	49114061	chr4p	chr4p1	chr4	24473233	0	1.0	1.0	0.0	136.0	12.0	7295.0	8903.0	2.22964304399762	0.4375396681163653	0.8916778452438194	0.14119495778945487
49659381	120298054	chr4q	chr4q0	chr4	70638674	0	2.0	2.0	0.0	1140.0	244.0	17529.0	32748.0	1.945400697348755	0.2510821059966716	0.8071997256961656	0.211176859111327
120298055	190936728	chr4q	chr4q1	chr4	70638674	0	2.0	1.0	1.0	810.0	126.0	21640.0	29427.0	2.4923196628153472	0.43354875926632	1.167421761858805	0.153646372171753
157856	23278474	chr5p	chr5p0	chr5	23120619	0	1.0	1.0	0.0	618.0	394.0	8036.0	10287.0	3.418187915518313	0.6403652442237776	1.7292448693219933	0.2282910130383505
23278475	46399093	chr5p	chr5p1	chr5	23120619	0	1.0	1.0	0.0	368.0	144.0	5948.0	8361.0	2.373879379878007	0.37399423696088985	0.9124350591672572	0.12358113229794088
46405066	113548949	chr5q	chr5q0	chr5	67143884	0	1.0	0.0	1.0	1974.0	802.0	16157.0	25698.0	2.3336520895228405	0.2991858467939139	0.8179553325327346	0.11841801079850069
113548950	180692833	chr5q	chr5q1	chr5	67143884	0	4.0	3.0	1.0	1152.0	596.0	20555.0	23109.0	2.657205498752307	0.4702758253996711	1.2363590075235975	0.1695962591261035
183917	29477270	chr6p	chr6p0	chr6	29293354	0	1.0	1.0	0.0	586.0	104.0	10988.0	14308.0	3.2556487386431527	0.5145317254703662	1.6564919892297987	0.2215941042757909
29477271	58770624	chr6p	chr6p1	chr6	29293354	0	1.0	1.0	0.0	580.0	150.0	8820.0	14095.0	2.445318485289792	0.8878680845630366	0.9676958026574891	0.16680317235452438
58780038	114880861	chr6q	chr6q0	chr6	56100824	0	3.0	2.0	1.0	554.0	30.0	12952.0	16174.0	1.9853529610054865	0.3175319735219488	0.7213282332574797	0.09569812348624633
114880862	170981685	chr6q	chr6q1	chr6	56100824	0	3.0	2.0	1.0	514.0	104.0	18482.0	21576.0	2.6969907287884456	0.4624109055273452	1.2265666727797686	0.17038836838767196
46239	28966311	chr7p	chr7p0	chr7	28920073	0	1.0	0.0	1.0	902.0	288.0	11743.0	13077.0	3.0317351779135957	0.6041142930190411	1.5181909281241759	0.2401302349113392
28966312	57886384	chr7p	chr7p1	chr7	28920073	0	4.0	2.0	2.0	2044.0	816.0	9761.0	10830.0	2.606401004665393	0.44593279457710067	1.0635468036760054	0.1547482744522378
58054067	108586776	chr7q	chr7q0	chr7	50532710	0	2.0	2.0	0.0	4034.0	2324.0	11825.0	17417.0	2.2567681200226364	0.34754172123155536	0.8365689456894231	0.12135582011927379
108586777	159119486	chr7q	chr7q1	chr7	50532710	0	2.0	1.0	1.0	780.0	284.0	14734.0	18347.0	2.7343656294750063	0.6054538272900202	1.2361115777064273	0.17558695236328567
113565	21952628	chr8p	chr8p0	chr8	21839064	0	2.0	0.0	2.0	2116.0	552.0	10252.0	12282.0	3.580616769583563	0.7263679018205504	1.816521462457659	0.38334759119239353
21952629	43791692	chr8p	chr8p1	chr8	21839064	0	0.0	0.0	0.0	186.0	18.0	5957.0	7404.0	2.218363362931711	0.358126566745678	0.8915471766435156	0.1391877476456142
43838481	95059476	chr8q	chr8q0	chr8	51220996	0	0.0	0.0	0.0	934.0	256.0	11178.0	16688.0	1.985218583047884	0.27293653667713325	0.6908349844555884	0.20091552912755065
95059477	146280472	chr8q	chr8q1	chr8	51220996	0	1.0	1.0	0.0	408.0	76.0	15792.0	21356.0	3.0082720197874706	0.4161381670359618	1.2657894902502	0.16348289281993142
212908	22556717	chr9p	chr9p0	chr9	22343810	0	0.0	0.0	0.0	256.0	70.0	9928.0	10607.0	3.710183344750936	0.62947973190346	1.9017553282685675	0.27300068260455873
22556718	44900527	chr9p	chr9p1	chr9	22343810	0	1.0	0.0	1.0	2042.0	1016.0	5224.0	6130.0	2.2611146633911168	0.40034045270636215	0.4007238332341575	0.18030130531248717
47226134	94127036	chr9q	chr9q0	chr9	46900903	0	1.0	1.0	0.0	2778.0	680.0	8539.0	9332.0	2.481145894906746	0.4536269250407201	1.123368889645475	0.16924586081867207
94127037	141027939	chr9q	chr9q1	chr9	46900903	0	4.0	2.0	2.0	768.0	206.0	15901.0	17065.0	2.687001133773173	0.49919356983826546	1.3708180533829475	0.18385107961567643
9411244	10297803	chr21p	chr21p0	chr21	886560	0	0.0	0.0	0.0	684.0	34.0	0.0	194.0	0.0	0.9554511587628866	0.0	0.7199276551056508
10297804	11184363	chr21p	chr21p1	chr21	886560	0	0.0	0.0	0.0	304.0	6.0	0.0	148.0	0.0	0.1912181614864865	0.0	0.18736088253718214
