Start	End	chromID	Chromosome	winID
25326941	36471749	chr17q	chr17	chr17q0
36471749	47616557	chr17q	chr17	chr17q1
47616557	58761365	chr17q	chr17	chr17q2
58761365	69906173	chr17q	chr17	chr17q3
69906173	81050981	chr17q	chr17	chr17q4
112535	3110513	chr18p	chr18	chr18p0
3110513	6108491	chr18p	chr18	chr18p1
6108491	9106469	chr18p	chr18	chr18p2
9106469	12104447	chr18p	chr18	chr18p3
12104447	15102425	chr18p	chr18	chr18p4
18570235	30459105	chr18q	chr18	chr18q0
30459105	42347975	chr18q	chr18	chr18q1
42347975	54236845	chr18q	chr18	chr18q2
54236845	66125715	chr18q	chr18	chr18q3
66125715	78014585	chr18q	chr18	chr18q4
261033	5106297	chr19p	chr19	chr19p0
5106297	9951561	chr19p	chr19	chr19p1
9951561	14796825	chr19p	chr19	chr19p2
14796825	19642089	chr19p	chr19	chr19p3
19642089	24487353	chr19p	chr19	chr19p4
27919724	34147396	chr19q	chr19	chr19q0
34147396	40375068	chr19q	chr19	chr19q1
40375068	46602740	chr19q	chr19	chr19q2
46602740	52830412	chr19q	chr19	chr19q3
52830412	59058084	chr19q	chr19	chr19q4
752721	24871728	chr1p	chr1	chr1p0
24871728	48990735	chr1p	chr1	chr1p1
48990735	73109742	chr1p	chr1	chr1p2
73109742	97228749	chr1p	chr1	chr1p3
97228749	121347756	chr1p	chr1	chr1p4
144617179	165527886	chr1q	chr1	chr1q0
165527886	186438593	chr1q	chr1	chr1q1
186438593	207349300	chr1q	chr1	chr1q2
207349300	228260007	chr1q	chr1	chr1q3
228260007	249170714	chr1q	chr1	chr1q4
69094	5310926	chr20p	chr20	chr20p0
5310926	10552758	chr20p	chr20	chr20p1
10552758	15794590	chr20p	chr20	chr20p2
15794590	21036422	chr20p	chr20	chr20p3
21036422	26278254	chr20p	chr20	chr20p4
29507776	36187524	chr20q	chr20	chr20q0
36187524	42867272	chr20q	chr20	chr20q1
42867272	49547020	chr20q	chr20	chr20q2
49547020	56226768	chr20q	chr20	chr20q3
56226768	62906516	chr20q	chr20	chr20q4
14665973	21351739	chr21q	chr21	chr21q0
21351739	28037505	chr21q	chr21	chr21q1
28037505	34723271	chr21q	chr21	chr21q2
34723271	41409037	chr21q	chr21	chr21q3
41409037	48094803	chr21q	chr21	chr21q4
17087705	23916125	chr22q	chr22	chr22q0
23916125	30744545	chr22q	chr22	chr22q1
30744545	37572965	chr22q	chr22	chr22q2
37572965	44401385	chr22q	chr22	chr22q3
44401385	51229805	chr22q	chr22	chr22q4
118913	18019298	chr2p	chr2	chr2p0
18019298	35919683	chr2p	chr2	chr2p1
35919683	53820068	chr2p	chr2	chr2p2
53820068	71720453	chr2p	chr2	chr2p3
71720453	89620838	chr2p	chr2	chr2p4
95358799	124895831	chr2q	chr2	chr2q0
124895831	154432863	chr2q	chr2	chr2q1
154432863	183969895	chr2q	chr2	chr2q2
183969895	213506927	chr2q	chr2	chr2q3
213506927	243043959	chr2q	chr2	chr2q4
108226	18170133	chr3p	chr3	chr3p0
18170133	36232040	chr3p	chr3	chr3p1
36232040	54293947	chr3p	chr3	chr3p2
54293947	72355854	chr3p	chr3	chr3p3
72355854	90417761	chr3p	chr3	chr3p4
93537290	114389881	chr3q	chr3	chr3q0
114389881	135242472	chr3q	chr3	chr3q1
135242472	156095063	chr3q	chr3	chr3q2
156095063	176947654	chr3q	chr3	chr3q3
176947654	197800245	chr3q	chr3	chr3q4
167596	9956889	chr4p	chr4	chr4p0
9956889	19746182	chr4p	chr4	chr4p1
19746182	29535475	chr4p	chr4	chr4p2
29535475	39324768	chr4p	chr4	chr4p3
39324768	49114061	chr4p	chr4	chr4p4
52696792	80344780	chr4q	chr4	chr4q0
80344780	107992768	chr4q	chr4	chr4q1
107992768	135640756	chr4q	chr4	chr4q2
135640756	163288744	chr4q	chr4	chr4q3
163288744	190936732	chr4q	chr4	chr4q4
157856	9406104	chr5p	chr5	chr5p0
9406104	18654352	chr5p	chr5	chr5p1
18654352	27902600	chr5p	chr5	chr5p2
27902600	37150848	chr5p	chr5	chr5p3
37150848	46399096	chr5p	chr5	chr5p4
49582750	75804767	chr5q	chr5	chr5q0
75804767	102026784	chr5q	chr5	chr5q1
102026784	128248801	chr5q	chr5	chr5q2
128248801	154470818	chr5q	chr5	chr5q3
154470818	180692835	chr5q	chr5	chr5q4
183917	11901259	chr6p	chr6	chr6p0
11901259	23618601	chr6p	chr6	chr6p1
23618601	35335943	chr6p	chr6	chr6p2
35335943	47053285	chr6p	chr6	chr6p3
47053285	58770627	chr6p	chr6	chr6p4
61891638	83709648	chr6q	chr6	chr6q0
83709648	105527658	chr6q	chr6	chr6q1
105527658	127345668	chr6q	chr6	chr6q2
127345668	149163678	chr6q	chr6	chr6q3
149163678	170981688	chr6q	chr6	chr6q4
46239	11614268	chr7p	chr7	chr7p0
11614268	23182297	chr7p	chr7	chr7p1
23182297	34750326	chr7p	chr7	chr7p2
34750326	46318355	chr7p	chr7	chr7p3
46318355	57886384	chr7p	chr7	chr7p4
61994170	81419234	chr7q	chr7	chr7q0
81419234	100844298	chr7q	chr7	chr7q1
100844298	120269362	chr7q	chr7	chr7q2
120269362	139694426	chr7q	chr7	chr7q3
139694426	159119490	chr7q	chr7	chr7q4
113565	8849191	chr8p	chr8	chr8p0
8849191	17584817	chr8p	chr8	chr8p1
17584817	26320443	chr8p	chr8	chr8p2
26320443	35056069	chr8p	chr8	chr8p3
35056069	43791695	chr8p	chr8	chr8p4
46936447	66805252	chr8q	chr8	chr8q0
66805252	86674057	chr8q	chr8	chr8q1
86674057	106542862	chr8q	chr8	chr8q2
106542862	126411667	chr8q	chr8	chr8q3
126411667	146280472	chr8q	chr8	chr8q4
212908	9150432	chr9p	chr9	chr9p0
9150432	18087956	chr9p	chr9	chr9p1
18087956	27025480	chr9p	chr9	chr9p2
27025480	35963004	chr9p	chr9	chr9p3
35963004	44900528	chr9p	chr9	chr9p4
68151440	82726740	chr9q	chr9	chr9q0
82726740	97302040	chr9q	chr9	chr9q1
97302040	111877340	chr9q	chr9	chr9q2
111877340	126452640	chr9q	chr9	chr9q3
126452640	141027940	chr9q	chr9	chr9q4
2737282	13886475	chrXp	chrX	chrXp0
13886475	25035668	chrXp	chrX	chrXp1
25035668	36184861	chrXp	chrX	chrXp2
36184861	47334054	chrXp	chrX	chrXp3
47334054	58483247	chrXp	chrX	chrXp4
61938671	80432545	chrXq	chrX	chrXq0
80432545	98926419	chrXq	chrX	chrXq1
98926419	117420293	chrXq	chrX	chrXq2
117420293	135914167	chrXq	chrX	chrXq3
135914167	154408041	chrXq	chrX	chrXq4
