Start	End	Chromosome	ChrRegion	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
10887374.3163265	15396165.0	chr18	centromeric	4508790.683673499	1.0	1.0	0.0	792.0	70.0	1.2529747028869547e-08	1.21149647978e-06
66873307.1428571	78017072.0	chr18	telomeric	11143764.857142903	0.0	0.0	0.0	70.0	42.0	1.5184836737518182e-08	2.34161124192e-06
18528460.0	21209337.0612245	chr18	centromeric	2680877.0612245016	0.0	0.0	0.0	22.0	2.0	5.119267990952778e-09	5.18830684721e-07
64704.0	14144459.8979592	chr19	telomeric	14079755.8979592	0.0	0.0	0.0	630.0	138.0	2.0169861056105358e-08	3.48221243769e-06
14144459.8979592	24608660.0	chr19	centromeric	10464200.1020408	1.0	1.0	0.0	436.0	228.0	9.823319044076817e-09	1.06420056883e-06
47066929.3469388	59118782.0	chr19	telomeric	12051852.653061204	0.0	0.0	0.0	526.0	362.0	2.1872101127077406e-08	2.11207575918e-06
27748235.0	30779063.2142857	chr19	centromeric	3030828.2142857015	0.0	0.0	0.0	50.0	6.0	8.252328782907438e-09	8.9523965743e-07
11007.0	27985750.2755102	chr1	telomeric	27974743.2755102	1.0	1.0	0.0	2256.0	1244.0	1.450946926337348e-08	2.49397047287e-06
114147590.571429	121471518.0	chr1	centromeric	7323927.428571001	0.0	0.0	0.0	324.0	104.0	7.744375474832868e-09	1.04728401579e-06
213636319.285714	249240538.0	chr1	telomeric	35604218.714286	0.0	0.0	0.0	1172.0	264.0	1.0999033174296288e-08	1.71695646661e-06
142542466.0	152657807.846939	chr1	centromeric	10115341.846938998	2.0	0.0	2.0	3408.0	2234.0	9.733199182173185e-09	4.53144021763e-06
61097.0	15743416.2346939	chr20	telomeric	15682319.2346939	1.0	0.0	1.0	78.0	14.0	1.5933835074096436e-08	1.55576497235e-06
15743416.2346939	26290878.0	chr20	centromeric	10547461.7653061	1.0	0.0	1.0	438.0	70.0	8.851299162017222e-09	1.68770806854e-06
43630213.7653061	62963101.0	chr20	telomeric	19332887.2346939	0.0	0.0	0.0	330.0	86.0	1.5289925685794577e-08	1.94375798567e-06
29432184.0	43630213.7653061	chr20	centromeric	14198029.7653061	0.0	0.0	0.0	218.0	20.0	6.6537942507880725e-09	9.80313204791e-07
37060093.2857143	48119633.0	chr21	telomeric	11059539.714285702	0.0	0.0	0.0	170.0	54.0	1.6336028243970695e-08	1.1301898994e-06
44780099.877551	51244236.0	chr22	telomeric	6464136.122449003	0.0	0.0	0.0	124.0	14.0	2.226210303825892e-08	3.30859936904e-06
10180.0	19861266.7755102	chr2	telomeric	19851086.7755102	0.0	0.0	0.0	230.0	54.0	1.3299378008307789e-08	1.60686817175e-06
66013925.2755102	92315497.0	chr2	centromeric	26301571.7244898	0.0	0.0	0.0	2120.0	586.0	7.575001532748549e-09	1.37191400188e-06
213409362.836735	243185993.0	chr2	telomeric	29776630.16326499	2.0	1.0	1.0	462.0	116.0	1.030916900416834e-08	2.25111959574e-06
95328622.0	112185433.020408	chr2	centromeric	16856811.020408005	0.0	0.0	0.0	1124.0	404.0	4.493628483672001e-09	1.21263785271e-06
60196.0	26312526.5306122	chr3	telomeric	26252330.5306122	1.0	1.0	0.0	590.0	138.0	1.336827150596356e-08	3.28413428516e-06
77582482.1530612	90483647.0	chr3	centromeric	12901164.846938804	1.0	1.0	0.0	78.0	10.0	2.524834867856239e-09	5.69171002457e-07
173729459.510204	197962380.0	chr3	telomeric	24232920.489796013	0.0	0.0	0.0	736.0	232.0	1.197751624654839e-08	1.7508688461e-06
93654937.0	119556327.969388	chr3	centromeric	25901390.969387993	1.0	1.0	0.0	300.0	34.0	5.47242964483772e-09	1.7816003807e-06
10455.0	28726067.3265306	chr4	telomeric	28715612.3265306	0.0	0.0	0.0	1778.0	298.0	1.2448927988458208e-08	3.93853893045e-06
28726067.3265306	49644397.0	chr4	centromeric	20918329.6734694	1.0	1.0	0.0	610.0	60.0	7.570631335934397e-09	3.11652872834e-06
154006787.397959	191043880.0	chr4	telomeric	37037092.602041006	2.0	1.0	1.0	428.0	68.0	1.0324450055842865e-08	1.36766544008e-06
52677180.0	80924796.0714286	chr4	centromeric	28247616.071428597	0.0	0.0	0.0	528.0	204.0	5.988163139191378e-09	1.24069290048e-06
10042.0	26892370.255102	chr5	telomeric	26882328.255102	1.0	1.0	0.0	730.0	400.0	1.1289082412494824e-08	2.81218352126e-06
26892370.255102	46392439.0	chr5	centromeric	19500068.744898	1.0	1.0	0.0	312.0	140.0	6.6239662903213e-09	1.39217159591e-06
153191926.836735	180875400.0	chr5	telomeric	27683473.16326499	1.0	0.0	1.0	638.0	204.0	1.149083306946057e-08	1.46092488811e-06
49415504.0	63469635.4285714	chr5	centromeric	14054131.428571403	0.0	0.0	0.0	174.0	6.0	6.055860791260322e-09	2.20107284985e-06
63978.0	15767088.6428571	chr6	telomeric	15703110.6428571	1.0	1.0	0.0	396.0	46.0	1.4605280999194423e-08	1.25361443492e-06
46862825.7142857	58765872.0	chr6	centromeric	11903046.285714298	0.0	0.0	0.0	198.0	42.0	4.8310542566258485e-09	1.1517156105e-06
139647183.714286	171053405.0	chr6	telomeric	31406221.285714	2.0	1.0	1.0	378.0	98.0	1.12282112033036e-08	3.91341988426e-06
61883737.0	83317559.6428571	chr6	centromeric	21433822.642857105	0.0	0.0	0.0	272.0	22.0	4.246462989918343e-09	8.38378732616e-07
16863.0	33901326.9183673	chr7	telomeric	33884463.9183673	1.0	0.0	1.0	1078.0	356.0	1.2413665359008336e-08	2.17977629591e-06
33901326.9183673	58044258.0	chr7	centromeric	24142931.081632704	4.0	2.0	2.0	2030.0	774.0	7.797983363566985e-09	1.85158344985e-06
136398322.714286	159128566.0	chr7	telomeric	22730243.285714	2.0	1.0	1.0	444.0	208.0	1.3551712608297238e-08	3.18250223141e-06
61059303.0	69504214.3469388	chr7	centromeric	8444911.346938804	0.0	0.0	0.0	1970.0	850.0	4.656186153468464e-09	3.22253352371e-06
11739.0	26396769.0	chr8	telomeric	26385030.0	2.0	0.0	2.0	2254.0	560.0	1.8739362266446495e-08	1.98214823255e-06
26396769.0	43825143.0	chr8	centromeric	17428374.0	0.0	0.0	0.0	148.0	12.0	6.421680579241966e-09	1.31809133221e-06
123912147.0	146303787.0	chr8	telomeric	22391640.0	0.0	0.0	0.0	290.0	68.0	1.1691398958746964e-08	1.78472282327e-06
46853067.0	59259027.0	chr8	centromeric	12405960.0	0.0	0.0	0.0	168.0	28.0	4.253946386561159e-09	9.08121312672e-07
10468.0	20172784.2857143	chr9	telomeric	20162316.2857143	0.0	0.0	0.0	292.0	44.0	1.5004619139280826e-08	1.75802677862e-06
43776076.7857143	47217053.0	chr9	centromeric	3440976.2142857015	0.0	0.0	0.0	1010.0	468.0	9.881182112277342e-09	1.06635290467e-07
129625358.408163	141146682.0	chr9	telomeric	11521323.591837004	0.0	0.0	0.0	258.0	42.0	1.6524145811468148e-08	1.98417105741e-06
65485592.0	73072662.5714286	chr9	centromeric	7587070.571428597	0.0	0.0	0.0	1902.0	460.0	1.0549241642535885e-08	5.81636774677e-07
47478463.7755102	81825440.1020408	chr10	arm	34346976.3265306	3.0	3.0	0.0	1076.0	760.0	7.383279546795496e-09	1.19767111541e-06
65926430.6428571	86675299.1989796	chr11	arm	20748868.556122504	2.0	1.0	1.0	1238.0	160.0	7.098315279342695e-09	9.6193739906e-07
44923155.7040816	75731311.5867347	chr12	arm	30808155.882653095	6.0	5.0	1.0	488.0	48.0	6.160067439254024e-09	1.06492322569e-06
19020094.0	58240402.9795918	chr13	arm	39220308.9795918	0.0	0.0	0.0	1540.0	348.0	1.0027408463005555e-08	1.84409700969e-06
19000058.0	54135626.3979592	chr14	arm	35135568.3979592	3.0	2.0	1.0	1100.0	100.0	1.0219684661895092e-08	1.82671014403e-06
20000446.0	52840187.0714286	chr15	arm	32839741.071428597	0.0	0.0	0.0	3736.0	2058.0	1.2663174343994504e-08	1.53594000404e-06
50852609.4387755	63206771.0357143	chr16	arm	12354161.596938796	0.0	0.0	0.0	256.0	26.0	1.1164716490664769e-08	1.30091604992e-06
29204066.3571429	48155180.4642857	chr17	arm	18951114.107142802	1.0	0.0	1.0	1328.0	926.0	8.157863341150474e-09	1.22884234402e-06
21209337.0612245	44041322.1020408	chr18	arm	22831985.040816296	0.0	0.0	0.0	192.0	6.0	6.521366166717907e-09	1.58433310555e-06
30779063.2142857	38922996.2806122	chr19	arm	8143933.066326499	0.0	0.0	0.0	524.0	88.0	9.248455921976042e-09	8.38008680976e-07
27985750.2755102	71066670.4234694	chr1	arm	43080920.147959195	2.0	2.0	0.0	484.0	110.0	7.334272899930967e-09	2.00252120692e-06
152657807.846939	183147063.566327	chr1	arm	30489255.719388008	1.0	1.0	0.0	532.0	120.0	7.835319872250537e-09	1.99421385279e-06
12571112.4897959	24815602.8877551	chr21	arm	12244490.397959199	1.0	0.0	1.0	482.0	44.0	1.3086596864501311e-08	1.8015841034e-06
16050606.0	30415352.9387755	chr22	arm	14364746.938775498	0.0	0.0	0.0	2344.0	924.0	1.9769323142897903e-08	4.01381106281e-06
19861266.7755102	42937596.0255102	chr2	arm	23076329.25	1.0	1.0	0.0	294.0	22.0	8.942625040624296e-09	1.77239009375e-06
112185433.020408	162797397.928571	chr2	arm	50611964.90816298	4.0	3.0	1.0	1862.0	388.0	5.855528100723779e-09	1.33756725864e-06
26312526.5306122	51947504.3418367	chr3	arm	25634977.811224498	2.0	2.0	0.0	560.0	30.0	6.100101476090923e-09	1.29222782132e-06
119556327.969388	146642893.739796	chr3	arm	27086565.77040802	0.0	0.0	0.0	920.0	166.0	6.310346043913757e-09	1.68096166985e-06
80924796.0714286	117465791.734694	chr4	arm	36540995.66326541	2.0	2.0	0.0	372.0	32.0	5.5352922012725794e-09	1.69008320923e-06
63469635.4285714	108330781.132653	chr5	arm	44861145.704081595	1.0	0.0	1.0	1762.0	796.0	5.766825542437123e-09	1.2314812984e-06
15767088.6428571	31314957.1785714	chr6	arm	15547868.535714298	1.0	1.0	0.0	410.0	98.0	8.553827621140354e-09	1.61455411417e-06
83317559.6428571	111482371.678571	chr6	arm	28164812.035713896	3.0	2.0	1.0	194.0	8.0	5.921886458165065e-09	3.93385897989e-06
69504214.3469388	102951268.530612	chr7	arm	33447054.183673203	2.0	2.0	0.0	2000.0	1464.0	6.549646728622614e-09	6.22663484284e-06
59259027.0	91585587.0	chr8	arm	32326560.0	0.0	0.0	0.0	756.0	228.0	5.520173994892807e-09	1.58874848558e-06
20172784.2857143	31974430.5357143	chr9	arm	11801646.25	1.0	0.0	1.0	120.0	50.0	9.355207680674882e-09	2.11088105296e-06
73072662.5714286	101349010.489796	chr9	arm	28276347.9183674	2.0	2.0	0.0	1174.0	332.0	8.660952024921013e-09	1.87948604144e-06
81825440.1020408	116172416.428571	chr10	arm	34346976.3265302	1.0	1.0	0.0	466.0	138.0	7.187587004207027e-09	1.46166529389e-06
86675299.1989796	107424167.755102	chr11	arm	20748868.556122392	0.0	0.0	0.0	466.0	238.0	6.659926485376476e-09	1.96071947213e-06
75731311.5867347	106539467.469388	chr12	arm	30808155.882653296	0.0	0.0	0.0	314.0	32.0	7.134128471695321e-09	2.14151877425e-06
58240402.9795918	97460711.9591837	chr13	arm	39220308.97959189	2.0	0.0	2.0	612.0	62.0	6.349827445758724e-09	1.89263955272e-06
54135626.3979592	89271194.7959184	chr14	arm	35135568.3979592	2.0	1.0	1.0	378.0	30.0	7.0559650532693495e-09	1.1939444096e-06
52840187.0714286	85679928.1428571	chr15	arm	32839741.071428508	0.0	0.0	0.0	2604.0	1746.0	8.406939952202155e-09	1.5057177186e-06
63206771.0357143	75560932.6326531	chr16	arm	12354161.596938804	1.0	0.0	1.0	366.0	274.0	6.43439893495796e-09	9.44165955084e-07
48155180.4642857	67106294.5714286	chr17	arm	18951114.107142895	1.0	0.0	1.0	692.0	484.0	8.449105682114341e-09	2.17201349849e-06
44041322.1020408	66873307.1428571	chr18	arm	22831985.0408163	0.0	0.0	0.0	174.0	26.0	9.327234585793029e-09	1.32484172689e-06
38922996.2806122	47066929.3469388	chr19	arm	8143933.066326596	0.0	0.0	0.0	520.0	294.0	9.333685609765461e-09	1.75728531331e-06
71066670.4234694	114147590.571429	chr1	arm	43080920.147959605	1.0	1.0	0.0	540.0	144.0	6.658424500258457e-09	1.77313483353e-06
183147063.566327	213636319.285714	chr1	arm	30489255.719386995	3.0	3.0	0.0	418.0	110.0	6.528186028673906e-09	1.80063548403e-06
24815602.8877551	37060093.2857143	chr21	arm	12244490.397959199	1.0	1.0	0.0	280.0	14.0	1.0358127226849853e-08	1.40587945666e-06
30415352.9387755	44780099.877551	chr22	arm	14364746.938775498	0.0	0.0	0.0	282.0	96.0	1.0856833659260338e-08	1.59247211782e-06
42937596.0255102	66013925.2755102	chr2	arm	23076329.25	0.0	0.0	0.0	160.0	12.0	8.09043729822776e-09	9.35578738937e-07
162797397.928571	213409362.836735	chr2	arm	50611964.908164024	3.0	3.0	0.0	756.0	64.0	6.281385245510827e-09	2.19404751732e-06
51947504.3418367	77582482.1530612	chr3	arm	25634977.811224498	2.0	2.0	0.0	756.0	88.0	1.0393011901611622e-08	2.09512559065e-06
146642893.739796	173729459.510204	chr3	arm	27086565.770407975	1.0	1.0	0.0	312.0	34.0	6.449236745416873e-09	1.92017465634e-06
117465791.734694	154006787.397959	chr4	arm	36540995.66326499	0.0	0.0	0.0	738.0	88.0	5.607309633477972e-09	2.1274538472e-06
108330781.132653	153191926.836735	chr5	arm	44861145.70408201	3.0	3.0	0.0	746.0	396.0	7.254972580639453e-09	1.95838488362e-06
31314957.1785714	46862825.7142857	chr6	arm	15547868.535714302	0.0	0.0	0.0	326.0	72.0	1.1861661697626766e-08	1.44685818247e-06
111482371.678571	139647183.714286	chr6	arm	28164812.035715	1.0	1.0	0.0	308.0	6.0	6.083008700801615e-09	7.0686919176e-07
102951268.530612	136398322.714286	chr7	arm	33447054.183673993	0.0	0.0	0.0	386.0	82.0	6.348042833148601e-09	1.88981902323e-06
91585587.0	123912147.0	chr8	arm	32326560.0	1.0	1.0	0.0	128.0	8.0	6.131782671488842e-09	1.92533005989e-06
31974430.5357143	43776076.7857143	chr9	arm	11801646.25	0.0	0.0	0.0	1598.0	816.0	9.971590983443168e-09	9.92698136589e-07
101349010.489796	129625358.408163	chr9	arm	28276347.918367	3.0	1.0	2.0	318.0	42.0	7.857029379224869e-09	1.19849240925e-06
